ticker,data,ano_mes_carteira,beta,indicator_rank,tercile
SHUL4,202208,202208,0.5665517601404569,28.0,1
PSSA3,202208,202208,0.5686719087425314,29.0,1
ALUP11,202208,202208,0.5720478283669511,30.0,1
PCAR3,202208,202208,0.6145426830571851,31.0,1
TOTS3,202208,202208,0.6169421353124972,32.0,1
SAPR11,202208,202208,0.6205585582140056,33.0,1
TIMS3,202208,202208,0.6330306142692503,34.0,1
ENEV3,202208,202208,0.639692676834255,35.0,1
ISAE4,202208,202208,0.6442988569171785,36.0,1
AGRO3,202208,202208,0.6524878737693158,37.0,1
BBSE3,202208,202208,0.6729822701714897,38.0,1
BRPR3,202208,202208,0.6743024919878833,39.0,1
AESB3,202208,202208,0.6749758371295821,40.0,1
VULC3,202208,202208,0.6792531084995062,41.0,1
RAIL3,202208,202208,0.6910751264139025,42.0,1
QUAL3,202208,202208,0.7091107991828357,43.0,1
LEVE3,202208,202208,0.7120777561883477,44.0,1
SYNE3,202208,202208,0.7133759195310246,45.0,1
RANI3,202208,202208,0.7276047949983705,46.0,1
MOVI3,202208,202208,0.7388685241501488,47.0,1
KEPL3,202208,202208,0.7417986652562402,48.0,1
RAPT4,202208,202208,0.7507132136348941,49.0,1
PARD3,202208,202208,0.7553117573669788,50.0,1
EQTL3,202208,202208,0.7737258546747969,51.0,1
PFRM3,202208,202208,0.7748826664535154,52.0,2
ALPA4,202208,202208,0.778989414806348,53.0,2
LOGN3,202208,202208,0.7813176783526238,54.0,2
GGBR4,202208,202208,0.7983136863854098,55.0,2
GOAU4,202208,202208,0.8010346417939151,56.0,2
TAEE11,202208,202208,0.8087523340610586,57.0,2
SMTO3,202208,202208,0.8091813646655054,58.0,2
EMBJ3,202208,202208,0.8120967647495304,59.0,2
RENT3,202208,202208,0.815256171504031,60.0,2
ABEV3,202208,202208,0.8175395119018071,61.0,2
ENGI11,202208,202208,0.8179609066321359,62.0,2
PORT3,202208,202208,0.8322362116013009,63.0,2
TEND3,202208,202208,0.8426051511108767,64.0,2
POMO4,202208,202208,0.843352533121318,65.0,2
CPLE6,202208,202208,0.8476764986526111,66.0,2
AZZA3,202208,202208,0.850195546122591,67.0,2
PRNR3,202208,202208,0.8525221985865932,68.0,2
CSMG3,202208,202208,0.8606032488085089,69.0,2
HYPE3,202208,202208,0.881378157157249,70.0,2
CRFB3,202208,202208,0.8832895837199162,71.0,2
AURA33,202208,202208,0.9041659291533394,72.0,2
GRND3,202208,202208,0.912407268674066,73.0,2
DIRR3,202208,202208,0.9232011661599332,74.0,2
VBBR3,202208,202208,0.9303352643512868,75.0,2
APER3,202208,202208,0.9328584555970556,76.0,2
AMER3,202208,202208,0.9546750726701289,77.0,2
USIM5,202208,202208,0.9882261859853896,78.0,2
LOGG3,202208,202208,1.0050298855389033,79.0,2
AMBP3,202208,202208,1.029998722379137,80.0,2
SQIA3,202208,202208,1.033412237108469,81.0,2
FRAS3,202208,202208,1.0339356657391554,82.0,2
CSAN3,202208,202208,1.043605209895338,83.0,2
MOTV3,202208,202208,1.0499157741622558,84.0,2
DEXP3,202208,202208,1.0629590939119236,85.0,2
IGTI3,202208,202208,1.06805356932698,86.0,2
MULT3,202208,202208,1.0817332932892092,87.0,2
MGLU3,202208,202208,1.0830107560907003,88.0,2
WIZC3,202208,202208,1.0988381291357614,89.0,2
BRML3,202208,202208,1.1003220541356746,90.0,2
UGPA3,202208,202208,1.101786953485346,91.0,2
VIVA3,202208,202208,1.1065268237521366,92.0,2
ENAT3,202208,202208,1.1218347534563724,93.0,2
PNVL3,202208,202208,1.1356852329481038,94.0,2
CMIG4,202208,202208,1.1367142956369156,95.0,2
NATU3,202208,202208,1.1392488850257465,96.0,2
LIGT3,202208,202208,1.140000294268155,97.0,2
HAPV3,202208,202208,1.1454172513495011,98.0,2
SULA11,202208,202208,1.147471514057001,99.0,2
PTBL3,202208,202208,1.1635010801913548,100.0,2
IRBR3,202208,202208,1.163944656213596,101.0,2
TRIS3,202208,202208,1.1640546835358507,102.0,3
ITSA4,202208,202208,1.1666915997052694,103.0,3
B3SA3,202208,202208,1.1690383834431768,104.0,3
BRAP4,202208,202208,1.1759632478697393,105.0,3
